created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,219,129,90,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,241,129,112,2,3
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,109,12,2011-10-01T20:36:05Z,724,MobiDevelop,3302,1702,1600,50,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,163,37,2011-01-18T08:30:12Z,74,dsaltares,2183,848,1335,33,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,157,14,2012-09-14T20:02:46Z,1060,xoppa,283,283,0,3,2
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,63,29,2011-01-30T23:17:01Z,121,acoppes,17,17,0,1,1
2012-08-10T19:34:38Z,2021-04-04T00:20:23Z,1095095,18250,18250,6141,6141,1250,516,13,2010-10-10T03:18:20Z,3035,NathanSweet,95,70,25,2,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,2249,103,2010-10-14T13:33:48Z,2382,normanmaurer,34,31,3,2,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,2249,103,2010-10-14T13:33:48Z,2382,normanmaurer,103,65,38,2,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,2249,103,2010-10-14T13:33:48Z,2382,normanmaurer,97,72,25,2,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,261,17,2015-11-22T10:47:52Z,16,kezhenxu94,431,155,276,28,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,1928,43,2009-12-30T00:30:26Z,4138,trustin,2675,2648,27,26,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,2249,103,2010-10-14T13:33:48Z,2382,normanmaurer,958,489,469,2,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,2249,103,2010-10-14T13:33:48Z,2382,normanmaurer,17,13,4,2,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,294,40,2014-09-28T02:04:20Z,46,carl-mastrangelo,48,24,24,2,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,2249,103,2010-10-14T13:33:48Z,2382,normanmaurer,610,546,64,6,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,292,94,2010-10-08T12:41:48Z,24,danbev,919,919,0,10,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,274,18,2014-05-12T21:45:16Z,523,Scottmitch,11601,10341,1260,145,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,7,10,2016-08-01T19:05:04Z,54,fenik17,628,312,316,142,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,2249,103,2010-10-14T13:33:48Z,2382,normanmaurer,8,8,0,1,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,2249,103,2010-10-14T13:33:48Z,2382,normanmaurer,30,20,10,3,1
2010-11-09T09:22:21Z,2021-04-03T15:47:28Z,68108,26365,26365,12879,12879,1836,2249,103,2010-10-14T13:33:48Z,2382,normanmaurer,164,127,37,3,1
