created_at,updated_at,size,stargazers_count,watchers_count,forks_count,network_count,subscribers_count,followers,public_repos,created_at,contributions,author_id,LOC,Add,Delete,Files,bug_num,commit_id
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,205,24,2012-02-06T19:56:57Z,4061,apc999,50,23,27,1,1,2723ccaf01cd29172189391bf0a92c4b76c1a3b9
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,13,9,2013-05-04T21:02:13Z,816,ifcharming,494,163,331,19,2,a35850dc82a393bcdb76ef2d2d1bdb4dcb022dfc
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,13,9,2013-05-04T21:02:13Z,816,ifcharming,359,359,0,4,1,ec795d673c7d85efde0e5ca3eda0bf2c66c92c10
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,13,9,2013-05-04T21:02:13Z,816,ifcharming,110,110,0,2,1,f9e77bb51f75cdcd6fdef3916c1c9379e9e4f347
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,13,9,2013-05-04T21:02:13Z,816,ifcharming,116,80,36,5,1,44abeaeb199304bc05c63627b9a18adc4ec5c859
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,42,6,2012-08-26T22:07:21Z,3644,calvinjia,55,38,17,2,1,aafbcd629929aef7d586bde5961bb72463cf5be8
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,42,6,2012-08-26T22:07:21Z,3644,calvinjia,34,10,24,1,1,3fc9f0afa0054da1a6c5c0713303eb04936bdeb1
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,3,3,2015-05-02T18:38:13Z,97,miasantreble,56,28,28,1,4,a52ac79950c9c6ab893cd3b1de6a6b6525f5aa5b
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,13,9,2013-05-04T21:02:13Z,816,ifcharming,4,2,2,1,1,562622c839991c9fa82a9c73bdb1887a9edf8696
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,42,26,16,3,1,505b4dfb6e2e8a67798fa08e005c43880a0b8caf
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,42,6,2012-08-26T22:07:21Z,3644,calvinjia,472,236,236,10,1,76e08494759ee04c55556c691c87037ee44b5275
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,15,17,2016-04-05T19:56:16Z,1093,peisun1115,8,2,6,1,1,a4c0fcd9d4b512b0dd095ab57b9e8d56f17ce18a
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,48,14,2012-06-30T07:18:54Z,389,HorizonNet,12,4,8,4,1,69ffbad3e7001b7a807e3440650c4845757dc859
2012-12-21T17:43:46Z,2021-04-03T10:23:57Z,132546,5027,5027,2446,2446,435,34,39,2013-02-02T06:47:59Z,2899,aaudiber,286,286,0,16,1,72e429ef30f4b7d4ba88339cc6f12d15f556a022
